# Oscilloscope Data

# Seconds	force_sensor_L.filtered_adc
12.969	32724
12.979	32724
12.989	32748
12.999	32753
13.009	32759
13.019	32761
13.029	32762
13.039	32762
13.049	32760
13.059	32760
13.069	32757
13.079	32760
13.089	32758
13.099	32754
13.109	32748
13.119	32743
13.129	32741
13.139	32737
13.149	32727
13.159	32717
13.169	32714
13.179	32713
13.189	32713
13.199	32709
13.209	32713
13.219	32732
13.229	32732
13.239	32743
13.249	32749
13.259	32754
13.269	32758
13.279	32759
13.289	32761
13.299	32745
13.309	32750
13.319	32751
13.329	32752
13.339	32747
13.349	32747
13.359	32750
13.369	32748
13.379	32751
13.389	32757
13.399	32758
13.409	32761
13.419	32754
13.429	32751
13.439	32756
13.449	32754
13.459	32755
13.469	32760
13.479	32768
13.489	32768
13.499	32768
13.509	32765
13.519	32765
13.529	32763
13.539	32763
13.549	32759
13.559	32743
13.569	32700
13.579	32630
13.589	32571
13.599	32538
13.609	32557
13.619	32579
13.629	32635
13.639	32675
13.649	32713
13.659	32696
13.669	32691
13.679	32690
13.689	32681
13.699	32730
13.709	32755
13.719	32765
13.729	32769
13.739	32768
13.749	32767
13.759	32765
13.769	32765
13.779	32765
13.789	32760
13.799	32759
13.809	32761
13.819	32760
13.829	32761
13.839	32765
13.849	32766
13.859	32769
13.875	32768
13.879	32768
13.889	32769
13.899	32768
13.909	32768
13.919	32769
13.929	32770
13.939	32771
13.949	32773
13.959	32775
13.969	32782
13.979	32789
13.989	32796
13.999	32809
14.009	32819
14.019	32822
14.029	32830
14.039	32830
14.049	32834
14.059	32835
14.069	32839
14.079	32845
14.089	32846
14.099	32850
14.109	32864
14.119	32874
14.129	32893
14.139	32911
14.149	32915
14.159	32925
14.169	32957
14.179	32957
14.189	32958
14.199	32971
14.209	32978
14.219	32974
14.229	32953
14.239	32946
14.249	32940
14.259	32939
14.269	32936
14.279	32931
14.289	32921
14.299	32900
14.309	32885
14.319	32863
14.329	32849
14.339	32839
14.349	32837
14.359	32830
14.369	32838
14.379	32840
14.389	32840
14.399	32838
14.409	32841
14.419	32848
14.429	32860
14.439	32873
14.449	32886
14.459	32881
14.469	32862
14.479	32843
14.489	32815
14.499	32780
14.509	32777
14.519	32778
14.529	32776
14.539	32775
14.549	32775
14.559	32770
14.569	32769
14.579	32765
14.589	32760
14.599	32752
14.609	32734
14.619	32730
14.629	32723
14.639	32716
14.649	32719
14.659	32720
14.669	32717
14.679	32745
14.689	32759
14.699	32767
14.709	32763
14.719	32752
14.729	32754
14.739	32758
14.749	32762
14.759	32766
14.769	32768
14.779	32769
14.789	32768
14.799	32764
14.809	32760
14.819	32756
14.829	32757
14.839	32750
14.849	32749
14.859	32752
14.869	32749
14.879	32755
14.889	32761
14.899	32765
14.909	32766
14.919	32765
14.929	32762
14.939	32758
14.949	32757
14.959	32748
14.969	32738
14.979	32734
14.989	32717
14.999	32690
15.009	32669
15.019	32669
15.029	32696
15.039	32722
15.049	32742
15.059	32762
15.069	32764
15.079	32767
15.089	32771
15.099	32772
15.109	32778
15.119	32781
15.129	32783
15.139	32781
15.149	32779
15.159	32776
15.169	32774
15.179	32773
15.189	32774
15.199	32775
15.209	32778
15.219	32787
15.229	32798
15.239	32812
15.249	32818
15.259	32821
15.269	32815
15.279	32807
15.289	32803
15.299	32800
15.309	32804
15.319	32813
15.329	32823
15.339	32827
15.349	32824
15.359	32815
15.369	32808
15.379	32802
15.389	32802
15.399	32796
15.409	32798
15.419	32797
15.429	32797
15.439	32802
15.449	32804
15.459	32805
15.469	32801
15.479	32799
15.489	32796
15.499	32795
15.509	32798
15.519	32802
15.529	32814
15.539	32830
15.549	32845
15.559	32847
15.569	32839
15.579	32829
15.589	32821
15.599	32820
15.609	32829
15.619	32847
15.629	32871
15.639	32888
15.649	32884
15.659	32873
15.669	32864
15.679	32859
15.689	32866
15.699	32892
15.709	32914
15.719	32942
15.729	32954
15.739	32964
15.749	32968
15.759	32971
15.769	32975
15.779	32976
15.789	32984
15.799	32994
15.809	32997
15.819	32988
15.829	32976
15.839	32976
15.849	32983
15.859	33001
15.869	33026
15.879	33038
15.889	33029
15.899	33013
15.909	33010
15.919	33007
15.929	32993
15.939	32984
15.949	32975
15.959	32967
15.969	32954
15.979	32928
15.989	32922
15.999	32901
16.009	32889
16.019	32881
16.029	32867
16.039	32843
16.049	32834
16.059	32830
16.069	32821
16.079	32795
16.089	32775
16.099	32769
16.109	32765
16.119	32758
16.129	32760
16.139	32760
16.149	32762
16.159	32764
16.169	32767
16.179	32769
16.189	32769
16.199	32766
16.209	32764
16.219	32765
16.229	32764
16.239	32763
16.249	32758
16.259	32757
16.269	32757
16.279	32759
16.289	32752
16.299	32750
16.309	32752
16.319	32745
16.329	32743
16.339	32746
16.349	32745
16.359	32741
16.369	32741
16.379	32737
16.389	32744
16.399	32751
16.409	32751
16.419	32748
16.429	32749
16.439	32749
16.449	32753
16.459	32749
16.469	32750
16.479	32750
16.489	32745
16.499	32751
16.509	32751
16.519	32747
16.529	32747
16.539	32748
16.549	32751
16.559	32750
16.569	32752
16.579	32750
16.589	32750
16.599	32750
16.609	32749
16.619	32749
16.629	32747
16.639	32750
16.649	32748
16.659	32751
16.669	32748
16.679	32749
16.689	32744
16.699	32746
16.709	32750
16.719	32749
16.729	32749
16.739	32753
16.749	32748
16.759	32747
16.769	32750
16.779	32749
16.789	32749
16.799	32751
16.809	32749
16.819	32749
16.829	32750
16.839	32750
16.849	32750
16.859	32748
16.869	32753
16.879	32753
16.889	32750
16.899	32748
16.909	32749
16.919	32752
16.929	32750
16.939	32749
16.949	32747
16.959	32742
16.969	32750
16.979	32746
16.989	32754
16.999	32752
17.009	32752
17.019	32751
17.029	32749
17.039	32751
17.049	32751
17.059	32751
17.069	32748
17.079	32752
17.089	32750
17.099	32748
17.109	32753
17.119	32750
17.129	32747
17.139	32749
17.149	32746
17.159	32745
17.169	32749
17.179	32746
17.189	32754
17.199	32749
17.209	32750
17.219	32747
17.229	32747
17.239	32749
17.249	32750
17.259	32753
17.269	32747
17.279	32746
17.289	32750
17.299	32749
17.309	32750
17.319	32749
17.329	32750
17.339	32752
17.349	32753
17.359	32752
17.369	32749
17.379	32749
17.389	32750
17.399	32751
17.409	32747
17.419	32754
17.429	32749
17.439	32750
17.449	32752
17.459	32750
17.469	32749
17.479	32753
17.489	32751
17.499	32746
17.509	32749
17.519	32751
17.529	32748
17.539	32750
17.549	32748
17.559	32751
17.569	32747
17.579	32746
17.589	32750
17.599	32744
17.609	32748
17.619	32751
17.629	32751
17.639	32753
17.649	32748
17.659	32747
17.669	32751
17.679	32751
17.689	32748
17.699	32749
17.709	32751
17.719	32750
17.729	32750
17.739	32750
17.749	32748
17.759	32751
17.769	32751
17.779	32748
17.789	32749
17.799	32750
17.809	32750
17.819	32750
17.829	32747
17.839	32751
17.849	32751
17.859	32747
17.869	32751
17.879	32749
17.889	32750
17.899	32749
17.909	32751
17.919	32746
17.929	32750
17.939	32752
17.949	32751
17.959	32749
17.969	32746
17.979	32750
17.989	32751
17.999	32748
18.009	32749
18.019	32751
18.029	32746
18.039	32749
18.049	32752
18.059	32749
18.069	32748
18.079	32751
18.089	32751
18.099	32750
18.111	32746
18.121	32750
18.129	32750
18.139	32752
18.149	32747
18.159	32750
18.169	32750
18.179	32751
18.189	32746
18.199	32753
18.209	32747
18.219	32750
18.229	32750
18.239	32751
18.249	32754
18.259	32751
18.269	32747
18.279	32748
18.289	32749
18.299	32747
18.309	32749
18.319	32750
18.329	32750
18.339	32748
18.349	32751
18.359	32752
18.369	32752
18.379	32750
18.389	32750
18.399	32749
18.409	32749
18.419	32750
18.429	32753
18.439	32750
18.449	32746
18.459	32752
18.469	32749
18.479	32749
18.489	32747
18.499	32747
18.509	32743
18.519	32743
18.529	32743
18.539	32757
18.549	32755
18.559	32740
18.569	32748
18.579	32748
18.589	32748
18.599	32751
18.609	32750
18.619	32750
18.629	32752
18.639	32753
18.649	32750
18.659	32752
18.669	32749
18.679	32747
18.689	32747
18.699	32749
18.709	32750
18.719	32751
18.729	32748
18.739	32749
18.749	32752
18.759	32751
18.769	32748
18.779	32748
18.789	32745
18.799	32749
18.809	32751
18.819	32750
18.829	32754
18.839	32757
18.849	32751
18.859	32748
18.869	32746
18.879	32749
18.889	32763
18.899	32765
18.909	32772
18.919	32773
18.929	32772
18.939	32770
18.949	32768
18.959	32765
18.969	32758
18.979	32753
18.989	32751
18.999	32759
19.009	32755
19.019	32765
19.029	32772
19.039	32777
19.049	32786
19.059	32795
19.069	32797
19.079	32782
19.089	32773
19.099	32769
19.109	32766
19.119	32766
19.129	32768
19.139	32771
19.149	32772
19.159	32774
19.169	32774
19.179	32776
19.189	32776
19.199	32777
19.209	32778
19.219	32776
19.229	32775
19.239	32771
19.249	32769
19.259	32767
19.269	32769
19.279	32767
19.289	32765
19.299	32765
